0e5c6c69-9df2-491e-8518-a6d3961f7de1, [20:07:04:003:72424003:003660000, Cliente 4]
455cec3c-f2e0-4ab4-9a20-0b9a2dd18ba8, [20:07:04:003:72424003:003660000, Cliente 4]
230be9bd-f4f8-444a-a44d-8268a33f6231, [20:07:04:003:72424003:003660000, Cliente 4]
d4fa07e3-0efd-4aaf-940d-6aa57fd84ebc, [20:07:05:044:72425044:044806000, Cliente 5]
c1a5939f-1f72-4fc3-a99a-82976ce6f7e9, [20:07:05:044:72425044:044806000, Cliente 5]
cf138d58-6dfb-4458-8fda-a6c4e4cfa176, [20:07:05:044:72425044:044806000, Cliente 5]
23f305bb-75d8-4ae0-b369-49920c247dbf, [20:07:05:044:72425044:044806000, Cliente 5]
818a2c39-900f-4134-8575-5259e03767f9, [20:07:05:044:72425044:044806000, Cliente 5]
3c95fe1e-4430-4e3b-97e3-3c8e28e890f1, [20:07:05:044:72425044:044806000, Cliente 5]
59ea439f-44cd-47d6-88a0-2a8c91a7548f, [20:07:05:044:72425044:044806000, Cliente 5]
e4f2ea83-c09b-4f52-8e37-2f94cbdcbf2e, [20:07:05:044:72425044:044806000, Cliente 5]
c2b3e398-262a-4769-9bd5-de5f3241fb02, [20:07:05:044:72425044:044806000, Cliente 5]
1273104e-2bd5-458b-ace6-c6284bb4e746, [20:07:05:044:72425044:044806000, Cliente 5]
a34db9fe-5405-4b48-90a7-9ed61833cf50, [20:07:05:044:72425044:044806000, Cliente 5]
299254ef-7060-40c3-8800-7a8ea37f123b, [20:07:05:044:72425044:044806000, Cliente 5]
0285b103-e1bd-4a56-a5a4-1522c4aa7669, [20:07:05:044:72425044:044806000, Cliente 5]
34f89403-7977-485e-b2a6-e47434229670, [20:07:05:044:72425044:044806000, Cliente 5]
709bf906-0e6a-4927-86dd-1417422ba050, [20:07:05:044:72425044:044806000, Cliente 5]
f7953c03-ccb4-4526-92e7-dbbc160789a3, [20:07:05:044:72425044:044806000, Cliente 5]
d66e1b8d-436c-46b3-b76c-07f5eae3671d, [20:07:05:044:72425044:044806000, Cliente 5]
17b85d2c-4584-44d1-9911-d6761afd458d, [20:07:05:044:72425044:044806000, Cliente 5]
