0c902d39-01f1-42e5-91cf-03068d595e05, [14:03:02:412:50582412:412682000, Cliente 3]
f3fa3b0f-379d-4847-9419-9f58ff614a32, [14:03:02:412:50582412:412682000, Cliente 3]
3f1b024b-4d37-404b-b11f-247e1756d0f4, [14:03:02:412:50582412:412682000, Cliente 3]
2db2a91b-cf7a-47bc-8a82-34b0dbbf71cf, [14:03:02:412:50582412:412682000, Cliente 3]
c8fd707e-16dc-4ff9-9ccb-43579788155c, [14:03:02:412:50582412:412682000, Cliente 3]
85fb11a7-8101-49f7-bd4e-c3e811557d6a, [14:03:02:412:50582412:412682000, Cliente 3]
3ade9152-c75f-43ad-88e8-94ed1569227c, [14:03:02:412:50582412:412682000, Cliente 3]
3504406f-0201-41cd-b1b9-3c5a6af0e5d8, [14:03:02:412:50582412:412682000, Cliente 3]
6e4f1332-28b0-42d4-a214-7b94331c24b5, [14:03:02:412:50582412:412682000, Cliente 3]
72acfc26-aae1-48e3-b897-734758d77fe5, [14:03:02:412:50582412:412682000, Cliente 3]
ab2b6da2-6e19-4200-95d0-dac079203bd7, [14:03:02:412:50582412:412682000, Cliente 3]
4a68decf-50c5-4c2f-af40-675ec892cc27, [14:03:02:412:50582412:412682000, Cliente 3]
9e33b59b-2980-4dc5-96b7-63478308e50c, [14:03:02:412:50582412:412682000, Cliente 3]
ac08aedc-f83e-441e-a0d8-429eeea75588, [14:03:02:412:50582412:412682000, Cliente 3]
4676dcf3-ea27-48b0-be03-9e39284c060f, [14:03:02:412:50582412:412682000, Cliente 3]
a43cc983-d589-4406-a04d-f2c15922859f, [14:03:03:419:50583419:419071000, Cliente 4]
1f5642b9-4781-42d7-a793-0023d6d827bb, [14:03:03:419:50583419:419071000, Cliente 4]
b30a7359-1e02-41c2-bac7-c4650a765508, [14:03:03:419:50583419:419071000, Cliente 4]
8eb369b2-2dd1-4c04-aedb-ddba7a37adb8, [14:03:03:419:50583419:419071000, Cliente 4]
e50431c0-e1bc-4dc9-8f33-451f0781506e, [14:03:03:419:50583419:419071000, Cliente 4]
6e1641ab-0473-4a56-94eb-72b58fba1d1e, [14:03:03:419:50583419:419071000, Cliente 4]
