1f95957a-1967-458c-beed-c4c39a635d01, [19:31:38:012:70298012:012481000, Cliente 5]
4d8df83b-0678-43e7-8644-1e681811bf9e, [19:31:38:012:70298012:012481000, Cliente 5]
c1ca655b-5971-4964-ab9c-66f896d43fe1, [19:31:38:012:70298012:012481000, Cliente 5]
541272c2-5858-40c0-8326-ad9a92e980d7, [19:31:38:012:70298012:012481000, Cliente 5]
d63a7467-66b4-40e1-ae1b-3c276859e8e6, [19:31:38:012:70298012:012481000, Cliente 5]
c1becce4-cbdd-47e5-8d00-56b39912be29, [19:31:38:012:70298012:012481000, Cliente 5]
a9580b2d-aa97-4694-829f-1ad947e7d5cd, [19:31:38:012:70298012:012481000, Cliente 5]
ee79c840-1acf-415c-b5a9-4b0210ab7066, [19:31:38:012:70298012:012481000, Cliente 5]
9ae4aed4-a1e4-4330-9615-d79b77ef9e02, [19:31:38:012:70298012:012481000, Cliente 5]
90667e8a-491b-4381-8dc8-70f4827ce12e, [19:31:38:012:70298012:012481000, Cliente 5]
b8f8a9bb-9953-43e7-9570-cb2432ff4cc8, [19:31:38:012:70298012:012481000, Cliente 5]
8e50f0f3-a4ef-4a6e-b688-1d97cb7f232e, [19:31:38:012:70298012:012481000, Cliente 5]
392e9106-ed7d-4a38-9417-ae96f26049ec, [19:31:38:012:70298012:012481000, Cliente 5]
725cc1ee-72c0-43cc-b447-9bd7df8d4ed3, [19:31:38:012:70298012:012481000, Cliente 5]
98dc1440-cfad-42cd-a86d-9c65c33ac9f5, [19:31:38:012:70298012:012481000, Cliente 5]
e24d7c30-0200-4983-9894-95e4c9098e78, [19:31:38:012:70298012:012481000, Cliente 5]
6666cea5-3efa-4504-8721-d8a8cb74d70c, [19:31:38:012:70298012:012481000, Cliente 5]
d9527d00-e419-454b-9ede-6d2682adfde7, [19:31:38:012:70298012:012481000, Cliente 5]
93a99cea-c03c-419f-9efd-f2a98a5345df, [19:31:38:012:70298012:012481000, Cliente 5]
3edacc7b-f2e1-489a-ad62-7e4d55d68e17, [19:31:39:024:70299024:024375000, Cliente 6]
06984e74-df6c-4299-a9bf-fc55f5fe51b7, [19:31:39:024:70299024:024375000, Cliente 6]
07b2b154-a8dd-4187-98ae-5033fcbb0346, [19:31:39:024:70299024:024375000, Cliente 6]
b90ecb52-3c6d-4ecf-8b6d-9d1f9ecd3df0, [19:31:39:024:70299024:024375000, Cliente 6]
0070b1d5-f7af-4ead-b574-96aef82d48ed, [19:31:39:024:70299024:024375000, Cliente 6]
e43af1bc-64c3-4d6a-9799-686f187e8459, [19:31:39:024:70299024:024375000, Cliente 6]
459936f3-6694-4a20-881b-b86e7165e62d, [19:31:39:024:70299024:024375000, Cliente 6]
00ffffb1-7a7c-4575-b247-fbccb95fa10f, [19:31:39:024:70299024:024375000, Cliente 6]
7cb2f021-7506-4baa-9476-b3609dbd0f6c, [19:31:39:024:70299024:024375000, Cliente 6]
8ba32802-a2ca-410c-b803-997f1fdca682, [19:31:39:024:70299024:024375000, Cliente 6]
806eb3b0-058e-4db7-a1ea-6442e2700cc6, [19:31:39:024:70299024:024375000, Cliente 6]
c429ee60-1d64-4768-b95a-46d438b57669, [19:31:39:024:70299024:024375000, Cliente 6]
2b0f6abc-f434-4868-99ed-6ea5c9421c01, [19:31:39:024:70299024:024375000, Cliente 6]
87583d16-67dc-4c2a-9f58-c8a0f3eb61ae, [19:31:39:024:70299024:024375000, Cliente 6]
26043eaf-9bed-4058-93d1-dcdccbd6ed74, [19:31:39:024:70299024:024375000, Cliente 6]
ffdc3b95-fdf4-4092-b557-009373a79201, [19:31:39:024:70299024:024375000, Cliente 6]
5fac6c1c-4154-40a4-bc04-f6021655e1d6, [19:31:39:024:70299024:024375000, Cliente 6]
b51f2c44-6b54-4f88-ace1-c614d20cceca, [19:31:39:024:70299024:024375000, Cliente 6]
53f83d0c-440c-41af-912f-65a2ba160dc5, [19:31:39:024:70299024:024375000, Cliente 6]
9f270271-90c0-4808-b320-5c009a34f52b, [19:31:39:024:70299024:024375000, Cliente 6]
90543eac-8200-489b-bfda-765d4bb7dfbc, [19:31:39:024:70299024:024375000, Cliente 6]
ad9934c9-c358-4d8f-a6eb-deaa5e06d80a, [19:31:39:024:70299024:024375000, Cliente 6]
79b3336c-7992-4d5a-be93-8608c4de322c, [19:31:39:024:70299024:024375000, Cliente 6]
3ece94b8-c5b8-410f-9304-686aee6df26f, [19:31:39:024:70299024:024375000, Cliente 6]
81a8c728-55f7-4a1f-8bca-7fa10c1fca14, [19:31:39:024:70299024:024375000, Cliente 6]
f37748ad-62bf-44c5-8a55-dae6adebe33a, [19:31:39:024:70299024:024375000, Cliente 6]
6baa63e9-362c-403d-a71c-bf8a2956b1e0, [19:31:39:024:70299024:024375000, Cliente 6]
79ab9dc2-2e41-4609-8bbb-02bbce16149c, [19:31:39:024:70299024:024375000, Cliente 6]
da88a15a-168e-4cc0-9e2f-c9d1b6c18bc1, [19:31:39:024:70299024:024375000, Cliente 6]
4bcaa31c-f5e2-43d9-b8fc-6e53e55a6a66, [19:31:39:024:70299024:024375000, Cliente 6]
41354b6e-06b2-431a-bb04-a8faf7673649, [19:31:40:014:70300014:014862000, Cliente 7]
c4783c34-0a3f-46da-889e-cd03ba2d23f9, [19:31:40:014:70300014:014862000, Cliente 7]
50d604a4-e46e-4bf5-ace0-c68115e5a019, [19:31:40:014:70300014:014862000, Cliente 7]
3cd4d468-096c-4e63-9068-b3d6b110d5b2, [19:31:40:014:70300014:014862000, Cliente 7]
f573936f-21bf-4cff-bdbd-539901827405, [19:31:40:014:70300014:014862000, Cliente 7]
c8fc4ea9-ed5e-4a18-b111-b839dd177777, [19:31:40:014:70300014:014862000, Cliente 7]
a12bffd5-68a3-4cb5-8709-629147e9336b, [19:31:40:014:70300014:014862000, Cliente 7]
